animal_ID,Cohort,Sex,Timepoint,Time,ZT,LD Cycle,percent_sleep,percent_sleepdec,mean_bout,mean_bout_round,total_min,total_min_round,REM_percent_sleep,REM_percent_sleepdec,REM_mean_bout,REM_mean_bout_round,REM_total_min,REM_total_min_round,nREM_percent_sleep,nREM_percent_sleepdec,nREM_mean_bout,nREM_mean_bout_round,nREM_total_min,nREM_total_min_round,WAKE_percent,WAKE_percent_dec,WAKE_mean_bout,WAKE_mean_bout_round,WAKE_total_min,WAKE_total_min_round
1:01,1,M,A,7:00:00,0,L,82.89,0.8289,179.78,180,49.734,50,5.44,0.0544,16.67,17,3.264,3,34.72,0.3472,62.8,63,20.832,21,59.83,0.5983,127.18,127,35.898,36
1:01,1,M,A,8:00:00,1,L,86.39,0.8639,184.89,185,51.834,52,13.11,0.1311,11.03,11,7.866,8,68.78,0.6878,49.84,50,41.268,41,18.11,0.1811,19,19,10.866,11
1:01,1,M,A,9:00:00,2,L,73.06,0.7306,177.5,178,43.836,44,7.06,0.0706,11.78,12,4.236,4,41.17,0.4117,67.82,68,24.702,25,51.78,0.5178,143.08,143,31.068,31
1:01,1,M,A,10:00:00,3,L,72.78,0.7278,141.6,142,43.668,44,6.89,0.0689,9.47,9,4.134,4,65.56,0.6556,71.45,71,39.336,39,27.56,0.2756,36.74,37,16.536,17
1:01,1,M,A,11:00:00,4,L,72.22,0.7222,155.11,155,43.332,43,9.28,0.0928,10.64,11,5.568,6,71.33,0.7133,66.87,67,42.798,43,19.39,0.1939,28.5,29,11.634,12
1:01,1,M,A,12:00:00,5,L,76.83,0.7683,223.69,224,46.098,46,9.89,0.0989,12.24,12,5.934,6,60.67,0.6067,64.53,65,36.402,36,29.44,0.2944,55.58,56,17.664,18
1:01,1,M,A,13:00:00,6,L,52.83,0.5283,104.1,104,31.698,32,12.72,0.1272,10.82,11,7.632,8,61.39,0.6139,60.27,60,36.834,37,25.89,0.2589,28.18,28,15.534,16
1:01,1,M,A,14:00:00,7,L,73.33,0.7333,199.86,200,43.998,44,8.89,0.0889,9.92,10,5.334,5,58.11,0.5811,66.06,66,34.866,35,33,0.33,58.9,59,19.8,20
1:01,1,M,A,15:00:00,8,L,69.39,0.6939,136,136,41.634,42,12.78,0.1278,10.16,10,7.668,8,77.61,0.7761,56.12,56,46.566,47,9.61,0.0961,15.43,15,5.766,6
1:01,1,M,A,16:00:00,9,L,71.61,0.7161,228.17,228,42.966,43,11.44,0.1144,10.19,10,6.864,7,51.22,0.5122,36.92,37,30.732,31,37.33,0.3733,32.43,32,22.398,22
1:01,1,M,A,17:00:00,10,L,72.33,0.7233,343.5,344,43.398,43,13.94,0.1394,12.47,12,8.364,8,49.06,0.4906,42.81,43,29.436,29,37,0.37,58,58,22.2,22
1:01,1,M,A,18:00:00,11,L,59.56,0.5956,144.75,145,35.736,36,10.22,0.1022,11.83,12,6.132,6,76.56,0.7656,67.14,67,45.936,46,13.22,0.1322,17.85,18,7.932,8
1:01,1,M,A,19:00:00,12,D,41.44,0.4144,83.43,83,24.864,25,9.56,0.0956,14.7,15,5.736,6,36.83,0.3683,41.87,42,22.098,22,53.61,0.5361,62.58,63,32.166,32
1:01,1,M,A,20:00:00,13,D,32.89,0.3289,78.59,79,19.734,20,3.61,0.0361,12.75,13,2.166,2,7.5,0.075,22,22,4.5,5,88.89,0.8889,229.43,229,53.334,53
1:01,1,M,A,21:00:00,14,D,19.44,0.1944,59.29,59,11.664,12,4.94,0.0494,13.64,14,2.964,3,21.06,0.2106,41.56,42,12.636,13,74,0.74,223,223,44.4,44
1:01,1,M,A,22:00:00,15,D,49.22,0.4922,103.26,103,29.532,30,1.33,0.0133,12,12,0.798,1,0.72,0.0072,12,12,0.432,0,97.94,0.9794,587.67,588,58.764,59
1:01,1,M,A,23:00:00,16,D,29.5,0.295,81.87,82,17.7,18,0.72,0.0072,8,8,0.432,0,1,0.01,6.5,7,0.6,1,98.28,0.9828,592.67,593,58.968,59
1:01,1,M,A,0:00:00,17,D,44.33,0.4433,137.69,138,26.598,27,8.72,0.0872,13.47,13,5.232,5,23.22,0.2322,23.43,23,13.932,14,68.06,0.6806,68.28,68,40.836,41
1:01,1,M,A,1:00:00,18,D,47.22,0.4722,100,100,28.332,28,21.61,0.2161,12.84,13,12.966,13,26.28,0.2628,16.23,16,15.768,16,52.11,0.5211,36.04,36,31.266,31
1:01,1,M,A,2:00:00,19,D,45.89,0.4589,95.2,95,27.534,28,1.78,0.0178,10.8,11,1.068,1,0.28,0.0028,0,0,0.168,0,97.94,0.9794,441,441,58.764,59
1:01,1,M,A,3:00:00,20,D,44.56,0.4456,106.12,106,26.736,27,21.06,0.2106,16.73,17,12.636,13,37.39,0.3739,25.09,25,22.434,22,41.56,0.4156,29.68,30,24.936,25
1:01,1,M,A,4:00:00,21,D,64.11,0.6411,117.27,117,38.466,38,18.11,0.1811,16.38,16,10.866,11,18.06,0.1806,16.06,16,10.836,11,63.83,0.6383,52.55,53,38.298,38
1:01,1,M,A,5:00:00,22,D,27,0.27,82.15,82,16.2,16,9.94,0.0994,11.26,11,5.964,6,15.89,0.1589,16.55,17,9.534,10,74.17,0.7417,91.79,92,44.502,45
1:01,1,M,A,6:00:00,23,D,66.5,0.665,152.71,153,39.9,40,5.39,0.0539,10.46,10,3.234,3,36,0.36,55.75,56,21.6,22,58.61,0.5861,150,150,35.166,35
1:01,1,M,B,7:00:00,0,L,40.06,0.4006,97.75,98,24.036,24,15.94,0.1594,11.77,12,9.564,10,66.94,0.6694,39.8,40,40.164,40,17.11,0.1711,19.1,19,10.266,10
1:01,1,M,B,8:00:00,1,L,81.89,0.8189,123.54,124,49.134,49,15.06,0.1506,13.06,13,9.036,9,71.33,0.7133,48.87,49,42.798,43,13.61,0.1361,16.62,17,8.166,8
1:01,1,M,B,9:00:00,2,L,48.22,0.4822,228.25,228,28.932,29,11.83,0.1183,12,12,7.098,7,61.22,0.6122,55.64,56,36.732,37,26.94,0.2694,37,37,16.164,16
1:01,1,M,B,10:00:00,3,L,72.44,0.7244,165.18,165,43.464,43,12.44,0.1244,14.21,14,7.464,7,60.22,0.6022,67.56,68,36.132,36,27.33,0.2733,36.15,36,16.398,16
1:01,1,M,B,11:00:00,4,L,80.61,0.8061,237.69,238,48.366,48,8.67,0.0867,10.16,10,5.202,5,63.67,0.6367,55.24,55,38.202,38,27.67,0.2767,38.15,38,16.602,17
1:01,1,M,B,12:00:00,5,L,70.56,0.7056,168.25,168,42.336,42,11.06,0.1106,12.96,13,6.636,7,65.78,0.6578,68.34,68,39.468,39,23.17,0.2317,43.89,44,13.902,14
